ID,chemical_name,cas_rn,protected_cas_rn,DTXSID,PubChem_CID,InChI_string,InChIKey,smiles,S,S_unit,S_comment,S_AD,comment_compound,DTXSID_mixture_network
ID_0015,"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, C7-9-branched alkyl esters",125643-61-0,CASRN_125643-61-0,DTXSID7044211,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0016,Tetrachloronaphthalene,1335-88-2,CASRN_1335-88-2,DTXSID70872599,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0017,Poly(pentabromobenzyl acrylate),59447-57-3,CASRN_59447-57-3,DTXSID70872796,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0018,"Diisononyl cyclohexane-1,2-dicarboxylate",166412-78-8,CASRN_166412-78-8,DTXSID8047395,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0019,Trichloronaphthalene,1321-65-9,CASRN_1321-65-9,DTXSID80872601,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0020,Ammonium (lauryloxypolyethoxy)ethyl sulfate,32612-48-9,CASRN_32612-48-9,DTXSID9049588,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0021,Trospium chloride,10405-02-4,CASRN_10405-02-4,DTXSID7023724,n/a,"InChI=1S/C25H30NO3.ClH/c27-24(25(28,19-9-3-1-4-10-19)20-11-5-2-6-12-20)29-23-17-21-13-14-22(18-23)26(21)15-7-8-16-26;/h1-6,9-12,21-23,28H,7-8,13-18H2;1H/q+1;/p-1/t21-,22+,23+;
",RVCSYOQWLPPAOA-QKYUOBHYSA-M,[Cl-].[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,0.01353359970222261,mg/L,OPERA 2.7,1,n/a,n/a
ID_0022,Diisononyl phthalate,28553-12-0,CASRN_28553-12-0,DTXSID4022521,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0023,Imazamethabenz-methyl,81405-85-8,CASRN_81405-85-8,DTXSID3032412,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0024,Octylphenol,27193-28-8,CASRN_27193-28-8,DTXSID6027925,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0025,n-Nonylphenol,25154-52-3,CASRN_25154-52-3,DTXSID3021857,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0026,Tolyltriazole,29385-43-1,CASRN_29385-43-1,DTXSID0026171,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0027,7-Oxolithocholic acid,4651-67-6,CASRN_4651-67-6,DTXSID501032263,444262,"InChI=1S/C24H38O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-19,22,25H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17-,18+,19+,22+,23+,24-/m1/s1
",DXOCDBGWDZAYRQ-AURDAFMXSA-N,[H][C@@]1(CC[C@@]2([H])[C@]3([H])C(=O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,38.16736779653854,mg/L,OPERA 2.7,1,n/a,n/a
ID_0028,Trospium,47608-32-2,CASRN_47608-32-2,DTXSID6048337,n/a,"InChI=1/C25H30NO3/c27-24(25(28,19-9-3-1-4-10-19)20-11-5-2-6-12-20)29-23-17-21-13-14-22(18-23)26(21)15-7-8-16-26/h1-6,9-12,21-23,28H,7-8,13-18H2/q+1/t21-,22+,23+
",OYYDSUSKLWTMMQ-JKHIJQBDNA-N,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1,0.01241250902613971,mg/L,OPERA 2.7,1,n/a,n/a
ID_0029,Thiacloprid sulfonic acid,n/a,n/a,DTXSID201027768,139597267,"InChI=1S/C10H13ClN4O5S/c11-8-2-1-7(5-13-8)6-15(3-4-21(18,19)20)10(17)14-9(12)16/h1-2,5H,3-4,6H2,(H,18,19,20)(H3,12,14,16,17)
",UCZRQNICFJGZAI-UHFFFAOYSA-N,[H]OS(=O)(=O)CCN(CC1=CC=C(Cl)N=C1)C(=O)NC(N)=O,1016.968741845379,mg/L,OPERA 2.7,1,n/a,n/a
ID_0030,beta-Estradiol 17-(beta-D-glucuronide) sodium salt,15087-02-2,CASRN_15087-02-2,DTXSID20585142,16219299,"InChI=1S/C24H32O8.Na/c1-24-9-8-14-13-5-3-12(25)10-11(13)2-4-15(14)16(24)6-7-17(24)31-23-20(28)18(26)19(27)21(32-23)22(29)30;/h3,5,10,14-21,23,25-28H,2,4,6-9H2,1H3,(H,29,30);
",YVEYPUJVNXGVJO-UHFFFAOYSA-N,[Na].CC12CCC3C(CCC4C=C(O)C=CC=43)C1CCC2OC1OC(C(O)C(O)C1O)C(O)=O |^1:0|,566.8700854509794,mg/L,OPERA 2.7,1,n/a,n/a
ID_0031,"N'-(4-Acetylbenzoyl)-N-tert-butyl-3,5-dimethylbenzohydrazide",n/a,n/a,DTXSID901027771,101920483,"InChI=1S/C22H26N2O3/c1-14-11-15(2)13-19(12-14)21(27)24(22(4,5)6)23-20(26)18-9-7-17(8-10-18)16(3)25/h7-13H,1-6H3,(H,23,26)
",HBFBSZKRQXEISA-UHFFFAOYSA-N,CC(=O)C1=CC=C(C=C1)C(=O)NN(C(=O)C1=CC(C)=CC(C)=C1)C(C)(C)C,2.9109031922529516,mg/L,OPERA 2.7,1,n/a,n/a
ID_0032,"1-(3,5-Dichlorophenyl)-3-(propan-2-ylcarbamoyl)urea",n/a,n/a,DTXSID701028573,131856609,"InChI=1S/C11H13Cl2N3O2/c1-6(2)14-10(17)16-11(18)15-9-4-7(12)3-8(13)5-9/h3-6H,1-2H3,(H3,14,15,16,17,18)
",MLYSJLQSYCTSDE-UHFFFAOYSA-N,CC(C)NC(=O)NC(=O)NC1=CC(Cl)=CC(Cl)=C1,235.83464595985183,mg/L,OPERA 2.7,1,n/a,n/a
ID_0033,"1-(6-Fluoro-1,3-benzothiazol-2-yl)ethanamine?",n/a,n/a,DTXSID601028594,10313528,"InChI=1/C9H9FN2S/c1-5(11)9-12-7-3-2-6(10)4-8(7)13-9/h2-5H,11H2,1H3
",LMYJCUHGXCJZJF-UHFFFAOYSA-N,CC(N)C1=NC2=C(S1)C=C(F)C=C2,34.10260346337776,mg/L,OPERA 2.7,1,n/a,n/a
ID_0034,"2-[4-[[Tert-butyl-(3,5-dimethylbenzoyl)amino]carbamoyl]phenyl]acetic acid",n/a,n/a,DTXSID201027770,101920482,"InChI=1S/C22H26N2O4/c1-14-10-15(2)12-18(11-14)21(28)24(22(3,4)5)23-20(27)17-8-6-16(7-9-17)13-19(25)26/h6-12H,13H2,1-5H3,(H,23,27)(H,25,26)
",QWBPAVBETVFMQN-UHFFFAOYSA-N,CC1=CC(=CC(C)=C1)C(=O)N(NC(=O)C1=CC=C(CC(O)=O)C=C1)C(C)(C)C,34.08678337986324,mg/L,OPERA 2.7,1,n/a,n/a
ID_0035,3-(4-Cyclopropyl-6-methyl-pyrimidin-2-yl-amino)-pheno,n/a,n/a,DTXSID601021443,85971930,"InChI=1S/C14H15N3O/c1-9-7-13(10-5-6-10)17-14(15-9)16-11-3-2-4-12(18)8-11/h2-4,7-8,10,18H,5-6H2,1H3,(H,15,16,17)
",IGDCKQUNQPOPEU-UHFFFAOYSA-N,CC1=CC(=NC(NC2=CC=CC(O)=C2)=N1)C1CC1,1.9166663706956095,mg/L,OPERA 2.7,1,n/a,n/a
ID_0036,"2-(N-(2-Hydroxyacetyl)-2,6-dimethylanilino)acetic acid",n/a,n/a,DTXSID001028603,139597902,"InChI=1S/C12H15NO4/c1-8-4-3-5-9(2)12(8)13(6-11(16)17)10(15)7-14/h3-5,14H,6-7H2,1-2H3,(H,16,17)
",XUBMBSRIISONHE-UHFFFAOYSA-N,CC1=CC=CC(C)=C1N(CC(O)=O)C(=O)CO,431.7331272095114,mg/L,OPERA 2.7,1,n/a,n/a
ID_0037,Pendimethalin,40487-42-1,CASRN_40487-42-1,DTXSID7024245,38479,"InChI=1S/C13H19N3O4/c1-5-10(6-2)14-12-11(15(17)18)7-8(3)9(4)13(12)16(19)20/h7,10,14H,5-6H2,1-4H3
",CHIFOSRWCNZCFN-UHFFFAOYSA-N,CCC(CC)NC1=C(C=C(C)C(C)=C1[N+]([O-])=O)[N+]([O-])=O,0.3014312387950017,mg/L,OPERA 2.7,1,n/a,n/a
ID_0038,Dodecylbenzenesulfonic acid,27176-87-0,CASRN_27176-87-0,DTXSID6027923,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mixture,n/a
ID_0039,Cymoxanil,57966-95-7,CASRN_57966-95-7,DTXSID6032358,42614,"InChI=1S/C7H10N4O3/c1-3-9-7(13)10-6(12)5(4-8)11-14-2/h3H2,1-2H3,(H2,9,10,12,13)
",XERJKGMBORTKEO-UHFFFAOYSA-N,CCNC(=O)NC(=O)C(=NOC)C#N,865.0958066502059,mg/L,OPERA 2.7,1,n/a,n/a
ID_0040,Benzoximate,29104-30-1,CASRN_29104-30-1,DTXSID8041660,571084,"InChI=1S/C18H18ClNO5/c1-4-24-20-17(25-18(21)12-8-6-5-7-9-12)15-14(22-2)11-10-13(19)16(15)23-3/h5-11H,4H2,1-3H3
",BZMIHNKNQJJVRO-UHFFFAOYSA-N,CCON=C(OC(=O)C1=CC=CC=C1)C1=C(OC)C=CC(Cl)=C1OC,30.258734228944068,mg/L,OPERA 2.7,1,n/a,n/a
ID_0041,Phoxim,14816-18-3,CASRN_14816-18-3,DTXSID8034324,26927,"InChI=1S/C12H15N2O3PS/c1-3-15-18(19,16-4-2)17-14-12(10-13)11-8-6-5-7-9-11/h5-9H,3-4H2,1-2H3
",ATROHALUCMTWTB-UHFFFAOYSA-N,CCOP(=S)(OCC)ON=C(C#N)C1=CC=CC=C1,3.1963420875237816,mg/L,OPERA 2.7,1,n/a,n/a
ID_0042,Oxysimazine hydrochloride,69775-98-0,CASRN_69775-98-0,DTXSID001017842,139079628,"InChI=1S/C7H13N5O.ClH/c1-3-8-5-10-6(9-4-2)12-7(13)11-5;/h3-4H2,1-2H3,(H3,8,9,10,11,12,13);1H
",UMCDURFZNJLDGU-UHFFFAOYSA-N,Cl.CCNC1=NC(=O)N=C(NCC)N1,264.1014283524071,mg/L,OPERA 2.7,1,n/a,n/a
ID_0043,Thiram | TMTD,137-26-8,CASRN_137-26-8,DTXSID5021332,5455,"InChI=1S/C6H12N2S4/c1-7(2)5(9)11-12-6(10)8(3)4/h1-4H3
",KUAZQDVKQLNFPE-UHFFFAOYSA-N,CN(C)C(=S)SSC(=S)N(C)C,25.175064552239725,mg/L,OPERA 2.7,1,n/a,n/a
ID_0044,Trifloxystrobin NOA413161,1367578-44-6,CASRN_1367578-44-6,DTXSID401024922,162396683,"InChI=1S/C19H15F3N2O6/c1-29-23-16(18(27)28)14-8-3-2-5-12(14)10-30-24-15(17(25)26)11-6-4-7-13(9-11)19(20,21)22/h2-9H,10H2,1H3,(H,25,26)(H,27,28)/b23-16+,24-15-
",FNMBGDHYHINSHI-TYNPDKIBSA-N,CO\N=C(\C(O)=O)C1=CC=CC=C1CO\N=C(/C(O)=O)C1=CC(=CC=C1)C(F)(F)F,53.42023378374426,mg/L,OPERA 2.7,1,n/a,n/a
ID_0045,Trifloxystrobin NOA413163,1367578-46-8,CASRN_1367578-46-8,DTXSID101024923,139594939,"InChI=1S/C19H15F3N2O6/c1-29-23-16(18(27)28)14-8-3-2-5-12(14)10-30-24-15(17(25)26)11-6-4-7-13(9-11)19(20,21)22/h2-9H,10H2,1H3,(H,25,26)(H,27,28)/b23-16+,24-15+
",FNMBGDHYHINSHI-VDYLEKFBSA-N,CO\N=C(\C(O)=O)C1=CC=CC=C1CO\N=C(\C(O)=O)C1=CC(=CC=C1)C(F)(F)F,53.42023378374426,mg/L,OPERA 2.7,1,n/a,n/a
ID_0046,Metalaxyl CGA108906,104390-56-9,CASRN_104390-56-9,DTXSID501024844,n/a,"InChI=1/C14H17NO6/c1-8-5-4-6-10(14(19)20)12(8)15(9(2)13(17)18)11(16)7-21-3/h4-6,9H,7H2,1-3H3,(H,17,18)(H,19,20)
",WFTHOCDLKYPFJX-UHFFFAOYNA-N,COCC(=O)N(C(C)C(O)=O)C1=C(C)C=CC=C1C(O)=O,4171.096240891976,mg/L,OPERA 2.7,1,n/a,n/a
ID_0047,Chlorothalonil-4-hydroxy-carboacidamide (TP611968),n/a,n/a,DTXSID701021365,91151095,"InChI=1S/C8H3Cl3N2O2/c9-4-2(1-12)5(10)6(11)7(14)3(4)8(13)15/h14H,(H2,13,15)
",IODGSFOOWTXKAE-UHFFFAOYSA-N,NC(=O)C1=C(O)C(Cl)=C(Cl)C(C#N)=C1Cl,1330.5017491103204,mg/L,OPERA 2.7,1,n/a,n/a
ID_0048,4-(2-cyanophenoxy)-6-hydroxypyrimidine,n/a,n/a,DTXSID701028242,17853280,"InChI=1S/C11H7N3O2/c12-6-8-3-1-2-4-9(8)16-11-5-10(15)13-7-14-11/h1-5,7H,(H,13,14,15)
",AEPJWPTWMHUKLG-UHFFFAOYSA-N,OC1=NC=NC(OC2=C(C=CC=C2)C#N)=C1,829.4286873220062,mg/L,OPERA 2.7,1,n/a,n/a
ID_0049,Tenofovir,147127-20-6,CASRN_147127-20-6,DTXSID9040132,464205,"InChI=1S/C9H14N5O4P/c1-6(18-5-19(15,16)17)2-14-4-13-7-8(10)11-3-12-9(7)14/h3-4,6H,2,5H2,1H3,(H2,10,11,12)(H2,15,16,17)/t6-/m1/s1
",SGOIRFVFHAKUTI-ZCFIWIBFSA-N,C[C@H](CN1C=NC2=C1N=CN=C2N)OCP(O)(O)=O,46580.98089230424,mg/L,OPERA 2.7,1,n/a,n/a
ID_0050,Gonyautoxin,80226-62-6,CASRN_80226-62-6,DTXSID10880097,104985,"InChI=1S/C10H17N7O11S2/c11-6-14-5-3(2-27-8(18)16-29(21,22)23)13-7(12)17-1-4(28-30(24,25)26)10(19,20)9(5,17)15-6/h3-5,19-20H,1-2H2,(H2,12,13)(H,16,18)(H3,11,14,15)(H,21,22,23)(H,24,25,26)/t3-,4-,5-,9-/m0/s1
",OKSSKVHGKYJNLL-LJRZAWCWSA-N,[H][C@@]12N=C(N)N[C@]11N(C[C@H](OS(O)(=O)=O)C1(O)O)C(N)=N[C@H]2COC(=O)NS(O)(=O)=O,59849.31407669471,mg/L,OPERA 2.7,0,n/a,n/a
ID_0051,Acemetacin,53164-05-9,CASRN_53164-05-9,DTXSID7022540,1981,"InChI=1S/C21H18ClNO6/c1-12-16(10-20(26)29-11-19(24)25)17-9-15(28-2)7-8-18(17)23(12)21(27)13-3-5-14(22)6-4-13/h3-9H,10-11H2,1-2H3,(H,24,25)
",FSQKKOOTNAMONP-UHFFFAOYSA-N,COC1=CC=C2N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C(CC(=O)OCC(O)=O)C2=C1,1.0445177348146295,mg/L,OPERA 2.7,1,n/a,n/a
ID_0052,Aceclofenac,89796-99-6,CASRN_89796-99-6,DTXSID7045522,71771,"InChI=1S/C16H13Cl2NO4/c17-11-5-3-6-12(18)16(11)19-13-7-2-1-4-10(13)8-15(22)23-9-14(20)21/h1-7,19H,8-9H2,(H,20,21)
",MNIPYSSQXLZQLJ-UHFFFAOYSA-N,OC(=O)COC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1,0.9315883173695064,mg/L,OPERA 2.7,1,n/a,n/a
ID_0053,Ranitidine-S-oxide,73851-70-4,CASRN_73851-70-4,DTXSID90891464,62986,"InChI=1/C13H22N4O4S/c1-14-13(9-17(18)19)15-6-7-22(20)10-12-5-4-11(21-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3
",SKHXRNHSZTXSLP-UHFFFAOYSA-N,CNC(NCC[S+]([O-])CC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O,690.3034416341743,mg/L,OPERA 2.7,1,n/a,n/a
ID_0055,Tetramethrin [(1R)-trans isomer],1166-46-7,CASRN_1166-46-7,DTXSID4058289,24365,"InChI=1S/C19H25NO4/c1-11(2)9-14-15(19(14,3)4)18(23)24-10-20-16(21)12-7-5-6-8-13(12)17(20)22/h9,14-15H,5-8,10H2,1-4H3/t14-,15+/m1/s1
",CXBMCYHAMVGWJQ-CABCVRRESA-N,CC(C)=C[C@@H]1[C@@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,2.1397755935283302,mg/L,OPERA 2.7,1,n/a,n/a
ID_0056,Etodolac,41340-25-4,CASRN_41340-25-4,DTXSID9020615,3308,"InChI=1/C17H21NO3/c1-3-11-6-5-7-12-13-8-9-21-17(4-2,10-14(19)20)16(13)18-15(11)12/h5-7,18H,3-4,8-10H2,1-2H3,(H,19,20)
",NNYBQONXHNTVIJ-UHFFFAOYSA-N,CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(O)=O,378.8129381348307,mg/L,OPERA 2.7,1,n/a,n/a
ID_0057,"trans-10,11-Dihydroxy-10,11-dihydrocarbazepine",58955-93-4,CASRN_58955-93-4,DTXSID10891461,114725,"InChI=1S/C15H14N2O3/c16-15(20)17-11-7-3-1-5-9(11)13(18)14(19)10-6-2-4-8-12(10)17/h1-8,13-14,18-19H,(H2,16,20)/t13-,14-/m0/s1
",PRGQOPPDPVELEG-KBPBESRZSA-N,NC(=O)N1C2=CC=CC=C2[C@H](O)[C@@H](O)C2=C1C=CC=C2,2896.188099740622,mg/L,OPERA 2.7,1,n/a,n/a
ID_0058,D-Tetrahydropalmatine,3520-14-7,CASRN_3520-14-7,DTXSID80359548,969488,"InChI=1S/C21H25NO4/c1-23-18-6-5-13-9-17-15-11-20(25-3)19(24-2)10-14(15)7-8-22(17)12-16(13)21(18)26-4/h5-6,10-11,17H,7-9,12H2,1-4H3/t17-/m1/s1
",AEQDJSLRWYMAQI-QGZVFWFLSA-N,COC1=C(OC)C=C2[C@H]3CC4=C(CN3CCC2=C1)C(OC)=C(OC)C=C4,12.611274218884663,mg/L,OPERA 2.7,1,n/a,n/a
ID_0059,Erucamide,112-84-5,CASRN_112-84-5,DTXSID4026929,5365371,"InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)/b10-9-
",UAUDZVJPLUQNMU-KTKRTIGZSA-N,CCCCCCCC\C=C/CCCCCCCCCCCC(N)=O,13.439779592149613,mg/L,OPERA 2.7,1,n/a,n/a
ID_0060,Retrorsine,480-54-6,CASRN_480-54-6,DTXSID6021242,5281743,"InChI=1S/C18H25NO6/c1-3-12-8-11(2)18(23,10-20)17(22)24-9-13-4-6-19-7-5-14(15(13)19)25-16(12)21/h3-4,11,14-15,20,23H,5-10H2,1-2H3/b12-3-/t11-,14-,15-,18-/m1/s1
",BCJMNZRQJAVDLD-CQRYIUNCSA-N,C\C=C1\C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,149.89961632736083,mg/L,OPERA 2.7,1,n/a,n/a
ID_0061,Seneciphylline,480-81-9,CASRN_480-81-9,DTXSID8026016,5281750,"InChI=1S/C18H23NO5/c1-4-12-9-11(2)18(3,22)17(21)23-10-13-5-7-19-8-6-14(15(13)19)24-16(12)20/h4-5,14-15,22H,2,6-10H2,1,3H3/b12-4-/t14-,15-,18-/m1/s1
",FCEVNJIUIMLVML-QPSVUOIXSA-N,C\C=C1\CC(=C)[C@@](C)(O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,1103.9381780435217,mg/L,OPERA 2.7,1,n/a,n/a
ID_0063,Senecionine,130-01-8,CASRN_130-01-8,DTXSID40871615,5280906,"InChI=1S/C18H25NO5/c1-4-12-9-11(2)18(3,22)17(21)23-10-13-5-7-19-8-6-14(15(13)19)24-16(12)20/h4-5,11,14-15,22H,6-10H2,1-3H3/b12-4-/t11-,14-,15-,18-/m1/s1
",HKODIGSRFALUTA-JTLQZVBZSA-N,[H][C@]12CCN3CC=C(COC(=O)[C@](C)(O)[C@H](C)C\C(=C\C)C(=O)O1)[C@]23[H],823.3093703207594,mg/L,OPERA 2.7,1,n/a,n/a
ID_0064,Estriol 3-sulfate,481-95-8,CASRN_481-95-8,DTXSID50963999,66415,"InChI=1S/C18H24O6S/c1-18-7-6-13-12-5-3-11(24-25(21,22)23)8-10(12)2-4-14(13)15(18)9-16(19)17(18)20/h3,5,8,13-17,19-20H,2,4,6-7,9H2,1H3,(H,21,22,23)/t13-,14-,15+,16-,17+,18+/m1/s1
",ZORQMBLUMWNJEQ-ZXXIGWHRSA-N,[H][C@@]12C[C@@H](O)[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(OS(O)(=O)=O)C=C3CC[C@@]21[H],1087.3435274729634,mg/L,OPERA 2.7,1,n/a,n/a
ID_0065,Ajmaline,07.12.4360,CASRN_4360-12-7,DTXSID6045537,3000261,"InChI=1S/C20H26N2O2/c1-3-10-11-8-14-17-20(12-6-4-5-7-13(12)21(17)2)9-15(16(11)18(20)23)22(14)19(10)24/h4-7,10-11,14-19,23-24H,3,8-9H2,1-2H3/t10-,11-,14-,15-,16+,17-,18+,19+,20+/m0/s1
",CJDRUOGAGYHKKD-OVXZWHIBSA-N,[H][C@]12C[C@]34[C@H](O)[C@@]1([H])[C@@]1([H])C[C@]([H])(N2[C@H](O)[C@H]1CC)[C@]3([H])N(C)C1=CC=CC=C41,392.4672020365083,mg/L,OPERA 2.7,1,n/a,n/a
ID_0066,Strophanthidin,66-28-4,CASRN_66-28-4,DTXSID00903966,6185,"InChI=1S/C23H32O6/c1-20-6-3-17-18(4-8-22(27)11-15(25)2-7-21(17,22)13-24)23(20,28)9-5-16(20)14-10-19(26)29-12-14/h10,13,15-18,25,27-28H,2-9,11-12H2,1H3/t15-,16+,17-,18+,20+,21-,22-,23-/m0/s1
",ODJLBQGVINUMMR-HZXDTFASSA-N,[H][C@@]12CC[C@]3(O)C[C@@H](O)CC[C@]3(C=O)[C@@]1([H])CC[C@]1(C)[C@H](CC[C@]21O)C1=CC(=O)OC1,12.7915080037109,mg/L,OPERA 2.7,1,n/a,n/a
ID_0067,17-Hydroxyandrostan-3-yl hexopyranuronate,27195-25-1,CASRN_27195-25-1,DTXSID40949929,3034755,"InChI=1S/C25H40O8/c1-24-9-7-13(32-23(31)21-19(28)18(27)20(29)22(30)33-21)11-12(24)3-4-14-15-5-6-17(26)25(15,2)10-8-16(14)24/h12-22,26-30H,3-11H2,1-2H3/t12-,13+,14-,15-,16-,17-,18-,19-,20+,21-,22+,24-,25-/m0/s1
",TWDCYBTXSUNASK-WGGIPMEBSA-N,[H][C@]1(O)CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@@]([H])(CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)[C@@]1([H])O[C@@]([H])(O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,8.143108769411839,mg/L,OPERA 2.7,1,n/a,n/a
ID_0068,1-Methyl-3-oxoandrost-1-en-17-yl acetate,434-05-9,CASRN_434-05-9,DTXSID40963004,252372,"InChI=1S/C22H32O3/c1-13-11-16(24)12-15-5-6-17-18-7-8-20(25-14(2)23)21(18,3)10-9-19(17)22(13,15)4/h11,15,17-20H,5-10,12H2,1-4H3/t15-,17-,18-,19-,20-,21-,22-/m0/s1
",PGAUJQOPTMSERF-QWQRBHLCSA-N,[H][C@@]12CC[C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)C=C(C)[C@]12C,1.807935460187453,mg/L,OPERA 2.7,1,n/a,n/a
