ID,chemical_name,DTXSID,PubChem_CID,InChIKey,FISH_ACUTE_LC50_IRFMN_RECALCULATED,FISH_ACUTE_LC50_IRFMN_RECALCULATED_UNIT,FISH_ACUTE_LC50_IRFMN_RELIABILTY,FISH_ACUTE_LC50_IRFMN_RECALCULATED_S_AD,FISH_S_AD_COMMENT,FISH_ECOTOXDB_P5,FISH_ECOTOXDB_P5_UNIT,FISH_ECOTOXDB_GEOMEAN,FISH_ECOTOXDB_GEOMEAN_UNIT,FISH_ECOTOXDB_P5_S_AD,FISH_ECOTOXDB_GEOMEAN_S_AD,FISH_ECOTOXDB_S_AD_COMMENT,FISH_ECOTOXDB_datapoints
ID_0020,Ammonium (lauryloxypolyethoxy)ethyl sulfate,DTXSID9049588,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0021,Trospium chloride,DTXSID7023724,n/a,RVCSYOQWLPPAOA-QKYUOBHYSA-M,4.425,mg/L,LOW,0,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0022,Diisononyl phthalate,DTXSID4022521,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0023,Imazamethabenz-methyl,DTXSID3032412,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0024,Octylphenol,DTXSID6027925,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0025,n-Nonylphenol,DTXSID3021857,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0026,Tolyltriazole,DTXSID0026171,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0027,7-Oxolithocholic acid,DTXSID501032263,444262,DXOCDBGWDZAYRQ-AURDAFMXSA-N,2.311,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0028,Trospium,DTXSID6048337,n/a,OYYDSUSKLWTMMQ-JKHIJQBDNA-N,4.425,mg/L,LOW,0,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0029,Thiacloprid sulfonic acid,DTXSID201027768,139597267,UCZRQNICFJGZAI-UHFFFAOYSA-N,5.483,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0030,beta-Estradiol 17-(beta-D-glucuronide) sodium salt,DTXSID20585142,16219299,YVEYPUJVNXGVJO-UHFFFAOYSA-N,4.431,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0031,"N'-(4-Acetylbenzoyl)-N-tert-butyl-3,5-dimethylbenzohydrazide",DTXSID901027771,101920483,HBFBSZKRQXEISA-UHFFFAOYSA-N,1.95,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0032,"1-(3,5-Dichlorophenyl)-3-(propan-2-ylcarbamoyl)urea",DTXSID701028573,131856609,MLYSJLQSYCTSDE-UHFFFAOYSA-N,3.369,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0033,"1-(6-Fluoro-1,3-benzothiazol-2-yl)ethanamine?",DTXSID601028594,10313528,LMYJCUHGXCJZJF-UHFFFAOYSA-N,10.11,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0034,"2-[4-[[Tert-butyl-(3,5-dimethylbenzoyl)amino]carbamoyl]phenyl]acetic acid",DTXSID201027770,101920482,QWBPAVBETVFMQN-UHFFFAOYSA-N,1.581,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0035,3-(4-Cyclopropyl-6-methyl-pyrimidin-2-yl-amino)-pheno,DTXSID601021443,85971930,IGDCKQUNQPOPEU-UHFFFAOYSA-N,4.321,mg/L,LOW,2,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0036,"2-(N-(2-Hydroxyacetyl)-2,6-dimethylanilino)acetic acid",DTXSID001028603,139597902,XUBMBSRIISONHE-UHFFFAOYSA-N,3.463,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0037,Pendimethalin,DTXSID7024245,38479,CHIFOSRWCNZCFN-UHFFFAOYSA-N,1.607,mg/L,MODERATE,0,"OPERA 2.7, QSARr",0.05,mg/L,0.9073,mg/L,3,0,"OPERA 2.7, QSARr",14
ID_0038,Dodecylbenzenesulfonic acid,DTXSID6027923,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0039,Cymoxanil,DTXSID6032358,42614,XERJKGMBORTKEO-UHFFFAOYSA-N,16.38,mg/L,LOW,3,"OPERA 2.7, QSARr",5.824,mg/L,11.81,mg/L,3,3,"OPERA 2.7, QSARr",5
ID_0040,Benzoximate,DTXSID8041660,571084,BZMIHNKNQJJVRO-UHFFFAOYSA-N,2.075,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0041,Phoxim,DTXSID8034324,26927,ATROHALUCMTWTB-UHFFFAOYSA-N,4.15,mg/L,LOW,2,"OPERA 2.7, QSARr",0.2009,mg/L,0.7763,mg/L,3,3,"OPERA 2.7, QSARr",88
ID_0042,Oxysimazine hydrochloride,DTXSID001017842,139079628,UMCDURFZNJLDGU-UHFFFAOYSA-N,31.51,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0043,Thiram | TMTD,DTXSID5021332,5455,KUAZQDVKQLNFPE-UHFFFAOYSA-N,4.648,mg/L,LOW,3,"OPERA 2.7, QSARr",0.0474,mg/L,0.375,mg/L,3,3,"OPERA 2.7, QSARr",19
ID_0044,Trifloxystrobin NOA413161,DTXSID401024922,162396683,FNMBGDHYHINSHI-TYNPDKIBSA-N,3.04,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0045,Trifloxystrobin NOA413163,DTXSID101024923,139594939,FNMBGDHYHINSHI-VDYLEKFBSA-N,3.04,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0046,Metalaxyl CGA108906,DTXSID501024844,n/a,WFTHOCDLKYPFJX-UHFFFAOYNA-N,5.127,mg/L,MODERATE,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0047,Chlorothalonil-4-hydroxy-carboacidamide (TP611968),DTXSID701021365,91151095,IODGSFOOWTXKAE-UHFFFAOYSA-N,2.482,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0048,4-(2-cyanophenoxy)-6-hydroxypyrimidine,DTXSID701028242,17853280,AEPJWPTWMHUKLG-UHFFFAOYSA-N,4.321,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0049,Tenofovir,DTXSID9040132,464205,SGOIRFVFHAKUTI-ZCFIWIBFSA-N,4.499,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0050,Gonyautoxin,DTXSID10880097,104985,OKSSKVHGKYJNLL-LJRZAWCWSA-N,6.405,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0051,Acemetacin,DTXSID7022540,1981,FSQKKOOTNAMONP-UHFFFAOYSA-N,1.847,mg/L,LOW,2,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0052,Aceclofenac,DTXSID7045522,71771,MNIPYSSQXLZQLJ-UHFFFAOYSA-N,1.025,mg/L,MODERATE,0,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0053,Ranitidine-S-oxide,DTXSID90891464,62986,SKHXRNHSZTXSLP-UHFFFAOYSA-N,5.472,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0055,Tetramethrin [(1R)-trans isomer],DTXSID4058289,24365,CXBMCYHAMVGWJQ-CABCVRRESA-N,3.556,mg/L,LOW,2,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0056,Etodolac,DTXSID9020615,3308,NNYBQONXHNTVIJ-UHFFFAOYSA-N,3.105,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0057,"trans-10,11-Dihydroxy-10,11-dihydrocarbazepine",DTXSID10891461,114725,PRGQOPPDPVELEG-KBPBESRZSA-N,6.235,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0058,D-Tetrahydropalmatine,DTXSID80359548,969488,AEQDJSLRWYMAQI-QGZVFWFLSA-N,3.453,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0059,Erucamide,DTXSID4026929,5365371,UAUDZVJPLUQNMU-KTKRTIGZSA-N,0.5323,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0060,Retrorsine,DTXSID6021242,5281743,BCJMNZRQJAVDLD-CQRYIUNCSA-N,4.229,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0061,Seneciphylline,DTXSID8026016,5281750,FCEVNJIUIMLVML-QPSVUOIXSA-N,3.461,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0063,Senecionine,DTXSID40871615,5280906,HKODIGSRFALUTA-JTLQZVBZSA-N,3.781,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0064,Estriol 3-sulfate,DTXSID50963999,66415,ZORQMBLUMWNJEQ-ZXXIGWHRSA-N,4.505,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0065,Ajmaline,DTXSID6045537,3000261,CJDRUOGAGYHKKD-OVXZWHIBSA-N,6.415,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0066,Strophanthidin,DTXSID00903966,6185,ODJLBQGVINUMMR-HZXDTFASSA-N,5.278,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0067,17-Hydroxyandrostan-3-yl hexopyranuronate,DTXSID40949929,3034755,TWDCYBTXSUNASK-WGGIPMEBSA-N,5.282,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0068,1-Methyl-3-oxoandrost-1-en-17-yl acetate,DTXSID40963004,252372,PGAUJQOPTMSERF-QWQRBHLCSA-N,1.45,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0069,Buprenorphine,DTXSID2022705,644073,RMRJXGBAOAMLHD-IHFGGWKQSA-N,3.073,mg/L,LOW,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0070,Norbuprenorphine,DTXSID60891436,114976,YOYLLRBMGQRFTN-IOMBULRVSA-N,4.223,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0071,(-)-Strychnine,DTXSID6023600,441071,QMGVPVSNSZLJIA-FVWCLLPLSA-N,4.681,mg/L,MODERATE,3,"OPERA 2.7, QSARr",0.7765,mg/L,1.096,mg/L,3,3,"OPERA 2.7, QSARr",4
ID_0072,Oxychlordane,DTXSID9044166,13785700,VWGNQYSIWFHEQU-KGEUUOKHSA-N,0.8261,mg/L,LOW,0,"OPERA 2.7, QSARr",0.002477,mg/L,0.00364,mg/L,3,3,"OPERA 2.7, QSARr",4
ID_0073,Heptachlor epoxide A,DTXSID2058752,71317194,ZXFXBSWRVIQKOD-WOBUKFROSA-N,0.8057,mg/L,LOW,0,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0074,Picrotoxinin,DTXSID3074311,442292,PIMZUZSSNYHVCU-YKWPQBAZSA-N,6.016,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0075,Drospirenone,DTXSID7046465,68873,METQSPRSQINEEU-HXCATZOESA-N,1.783,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0076,Parthenolide,DTXSID2040579,5420805,KTEXNACQROZXEV-QLIGOWBFSA-N,2.334,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0077,Heptachlor epoxide B,DTXSID1024126,138394051,ZXFXBSWRVIQKOD-HWKPLSEASA-N,0.8057,mg/L,LOW,0,"OPERA 2.7, QSARr",0.00574,mg/L,0.01901,mg/L,3,3,"OPERA 2.7, QSARr",5
ID_0078,JWH-073 (2-methylnaphthyl analog),DTXSID201016557,91743272,DRPAIIWSIJRPFH-UHFFFAOYSA-N,0.6715,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0079,(1-butyl-1H-indol-3-yl)(4-methylnaphthalen-1-yl)methanone,DTXSID601017183,91743259,DOKBVCMQPGKQGV-UHFFFAOYSA-N,0.6986,mg/L,LOW,0,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0080,1-Butyl-3-(1-naphthoyl) indole,DTXSID20175042,10471670,VCHHHSMPMLNVGS-UHFFFAOYSA-N,0.6312,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0081,Diniconazole,DTXSID2040363,6436605,FBOUIAKEJMZPQG-AWNIVKPZSA-N,0.9435,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0082,Stiripentol,DTXSID6049068,39524,IBLNKMRFIPWSOY-UHFFFAOYSA-N,4.534,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0083,Uniconazole,DTXSID7032505,6436604,YNWVFADWVLCOPU-MDWZMJQESA-N,1.418,mg/L,LOW,3,"OPERA 2.7, QSARr",7.875,mg/L,62.47,mg/L,3,2,"OPERA 2.7, QSARr",4
ID_0084,"trans-1,3-Dichloropropene",DTXSID2042480,24726,UOORRWUZONOOLO-OWOJBTEDSA-N,7.35,mg/L,EXPERIMENTAL,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0085,Acetamiprid,DTXSID0034300,n/a,WCXDHFDTOYPNIE-RIYZIHGNSA-N,3.918,mg/L,LOW,3,"OPERA 2.7, QSARr",11.4,mg/L,39.27,mg/L,3,3,"OPERA 2.7, QSARr",8
ID_0086,Triflumizole,DTXSID2032500,n/a,HSMVPDGQOIQYSR-KGENOOAVSA-N,1.122,mg/L,LOW,3,"OPERA 2.7, QSARr",0.35,mg/L,0.7094,mg/L,3,3,"OPERA 2.7, QSARr",8
ID_0087,alpha-Humalene,DTXSID30858793,5281520,FAMPSKZZVDUYOS-HRGUGZIWSA-N,0.6891,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0088,Curcumin,DTXSID8031077,969516,VFLDPWHFBUODDF-FCXRPNKRSA-N,2.685,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0089,"1,2,4-Triazole-1-acetic acid",DTXSID90365231,1810180,RXDBSQXFIWBJSR-UHFFFAOYSA-N,38.01,mg/L,LOW,3,"OPERA 2.7, QSARr",101,mg/L,101,mg/L,3,3,"OPERA 2.7, QSARr",1
ID_0090,JWH-019,DTXSID70175118,52224389,PALJPGHWDUHUPO-UHFFFAOYSA-N,0.699,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0091,(1-Hexyl-5-phenyl-1H-pyrrol-3-yl)(naphthalen-1-yl)methanone,DTXSID00658823,44418307,FRMYAMAGHYHNKF-UHFFFAOYSA-N,0.721,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0092,Indole-3-acetic acid,DTXSID5020738,802,SEOVTRFCIGRIMH-UHFFFAOYSA-N,13.38,mg/L,MODERATE,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0093,Oxyphencyclimine,DTXSID4023410,4642,DUDKAZCAISNGQN-UHFFFAOYSA-N,4.494,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0094,Oxyphencyclimine hydrochloride,DTXSID6045909,657252,WXAYTPABEADAAB-UHFFFAOYSA-N,4.494,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0095,Ronidazole,DTXSID6045400,5094,PQFRTXSWDXZRRS-UHFFFAOYSA-N,11.05,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0096,UR-144,DTXSID60152635,44626619,NBMMIBNZVQFQEO-UHFFFAOYSA-N,0.9382,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0097,(1-Propyl-1H-indol-3-yl)(4-propylnaphthalen-1-yl)methanone,DTXSID80669851,45266978,BMOMWXXAVVSIRU-UHFFFAOYSA-N,0.7565,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0098,Nortramadol,DTXSID001018771,12149038,VUMQHLSPUAFKKK-HIFRSBDPSA-N,9.025,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0099,"Benzenemethanol, .alpha.-[(1R)-1-aminoethyl]-, (.alpha.R)-rel-",DTXSID20889399,n/a,DLNKOYKMWOXYQA-OWWGPPLWNA-N,22.17,mg/L,MODERATE,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0100,Cannabidiol,DTXSID00871959,644019,QHMBSVQNZZTUGM-ZWKOTPCHSA-N,0.9473,mg/L,MODERATE,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0101,trans-Chlordane,DTXSID4038346,45356234,BIWJNBZANLAXMG-MPPHZFHBSA-N,0.6403,mg/L,LOW,0,"OPERA 2.7, QSARr",0.05135,mg/L,0.08553,mg/L,3,3,"OPERA 2.7, QSARr",3
ID_0102,beta-HCH,DTXSID7020685,n/a,JLYXXMFPNIAWKQ-CDRYSYESSA-N,0.6131,mg/L,LOW,3,"OPERA 2.7, QSARr",1.558,mg/L,1.961,mg/L,3,3,"OPERA 2.7, QSARr",8
ID_0103,alpha-HCH,DTXSID2020684,n/a,JLYXXMFPNIAWKQ-SHFUYGGZSA-N,0.6131,mg/L,LOW,3,"OPERA 2.7, QSARr",0.12,mg/L,1.346,mg/L,3,3,"OPERA 2.7, QSARr",19
ID_0104,trans-Nonachlor,DTXSID5052709,n/a,OCHOKXCPKDPNQU-DFACZZRHSA-N,0.5196,mg/L,LOW,0,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0105,epsilon-HCH,DTXSID0024135,n/a,JLYXXMFPNIAWKQ-DCLYFUHFSA-N,0.6131,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0106,Benzoylecgonine,DTXSID7046758,24916772,GVGYEFKIHJTNQZ-RFQIPJPRSA-N,7.699,mg/L,MODERATE,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0107,Scopolamine-Methyl,DTXSID0046931,n/a,LZCOQTDXKCNBEE-IKIFYQGPSA-N,5.614,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0108,Scopolamine methylbromide,DTXSID2040608,n/a,CXYRUNPLKGGUJF-RAFJPFSSSA-M,5.614,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0109,N-Butylscopolamine,DTXSID4048145,n/a,YBCNXCRZPWQOBR-WVHCHWADSA-N,7.767,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0110,(-)-Scopolamine,DTXSID6023573,n/a,STECJAGHUSJQJN-FWXGHANASA-N,5.266,mg/L,MODERATE,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0111,"(1R,2S)-2-(Aminomethyl)-1-(3-methoxyphenyl)cyclohexan-1-ol | N-Bisdesmethyl Tramadol",DTXSID90652198,29922743,QNPPIKMBCJUUTG-JSGCOSHPSA-N,8.396,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0112,Milnacipran,DTXSID3048287,n/a,GJJFMKBJSRMPLA-UYWMCZCJNA-N,8.057,mg/L,MODERATE,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0113,(-)-Methylephedrine,DTXSID7045992,64782,FMCGSUUBYTWNDP-ONGXEEELSA-N,16.03,mg/L,MODERATE,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0114,Ephedrine,DTXSID0022985,9294,KWGRBVOPPLSCSI-WPRPVWTQSA-N,20.61,mg/L,LOW,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ID_0115,Tranylcypromine,DTXSID2023694,19493,AELCINSCMGFISI-DTWKUNHWSA-N,29.44,mg/L,MODERATE,3,"OPERA 2.7, QSARr",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
