ID,chemical_name,DTXSID,parent_or_TP,TP_of,use_group,use_group_details,additional_use_info,target_taxa,MoA_broad,MoA_specific,molecular_target,further_MoA_info,nontarget_taxa,nontarget_taxa_alert,source,MoA_comment,date_of_retrieval,PubChem_CID,InChIKey,comment_compound
ID_0011,Tris(isopropylphenyl) phosphate,DTXSID50858795,parent,n/a,Industrial Chemical,IC Flame retardant/Plasticizer,n/a,n/a,unknown,n/a,n/a,n/a,n/a,potential developmental toxicity and neurotoxicity,"CPDat, pubchem, Behl et al. 2015 (doi: 10.1016/j.ntt.2015.09.003)",n/a,12/22/2022,n/a,n/a,Mixture
ID_0012,Bupropion,DTXSID7022706,parent,n/a,Pharmaceutical,Ph Psychotropic,n/a,humans,Neuroactive,"Noradrenaline-dopamine reuptake inhibition (NDRI), nAChR modulator","Sodium-dependent dopamine and noradrenaline transporter, Nicotinic acetylcholine receptor (nAChR)",n/a,n/a,n/a,"drugbank, wikipedia",n/a,3/1/2021,444,SNPPWIUOZRMYNY-UHFFFAOYSA-N,n/a
ID_0013,Ketotifen,DTXSID7023190,parent,n/a,Pharmaceutical,Ph Antihistamine,n/a,humans,Antihistamine,Histamine receptor antagonist,Histamine H1 receptor,n/a,n/a,n/a,drugbank,n/a,6/17/2022,n/a,n/a,Mixture
ID_0014,Ivermectin,DTXSID7040235,parent,n/a,Pharmaceutical,Ph Antiparasitic,n/a,parasites (in humans),Neuroactive,GluCl channel agonist,Glutamate-gated chloride (GluCl) channel,believed to act as an agonist of the neurotransmitter gamma-aminobutyric acid (GABA),n/a,n/a,"drugbank, wikipedia", ivermectin contains of 80% B1a and up to 20% B1b,3/11/2022,n/a,n/a,Mixture
ID_0015,"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, C7-9-branched alkyl esters",DTXSID7044211,parent,n/a,Industrial Chemical,IC Antioxidant/Additive/Stabilizer,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,CPDat,n/a,7/22/2022,n/a,n/a,Mixture
ID_0016,Tetrachloronaphthalene,DTXSID70872599,parent,n/a,Industrial Chemical,IC,used as cable insulation/wood preservation/engine oil additives/electroplating masking compounds/capacitors/dye production in the past,n/a,unknown,n/a,n/a,"some of the biochemical (e.g., drug metabolizing enzyme induction, hormonal changes) and toxic (e.g., skin disorders, weight loss, hepatotoxicity, reproductive toxicity) responses of PCNs are believed to be mediated via the cytosolic Ah receptor",n/a,toxicant,Concise International Chemical Assessment Document 34 on chlorinated naphthalenes (WHO 2001),info about chlorinated naphthalenes in general,7/23/2022,n/a,n/a,Mixture
ID_0017,Poly(pentabromobenzyl acrylate),DTXSID70872796,parent,n/a,Industrial Chemical,IC Flame retardant,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,CPDat,n/a,3/19/2022,n/a,n/a,Mixture
ID_0018,"Diisononyl cyclohexane-1,2-dicarboxylate",DTXSID8047395,parent,n/a,Industrial Chemical,IC Plasticizer,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,7/22/2022,n/a,n/a,Mixture
ID_0019,Trichloronaphthalene,DTXSID80872601,parent,n/a,Industrial Chemical,IC,used as cable insulation/wood preservation/engine oil additives/electroplating masking compounds/capacitors/dye production in the past,n/a,unknown,n/a,n/a,"some of the biochemical (e.g., drug metabolizing enzyme induction, hormonal changes) and toxic (e.g., skin disorders, weight loss, hepatotoxicity, reproductive toxicity) responses of PCNs are believed to be mediated via the cytosolic Ah receptor",n/a,toxicant,Concise International Chemical Assessment Document 34 on chlorinated naphthalenes (WHO 2001),info about chlorinated naphthalenes in general,7/23/2022,n/a,n/a,Mixture
ID_0020,Ammonium (lauryloxypolyethoxy)ethyl sulfate,DTXSID9049588,parent,n/a,Industrial Chemical,IC PC/Surfactant,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"CPDat, Fazlolahzadeh and Rouhollahi 2018",n/a,10/4/2022,n/a,n/a,Mixture
ID_0021,Trospium chloride,DTXSID7023724,parent,n/a,Pharmaceutical,Ph Antispasmodic,n/a,humans,Neuromuscular system,mAChR antagonist,Muscarinic acetylcholine receptors (mAChR),n/a,n/a,n/a,drugbank,n/a,7/22/2022,n/a,RVCSYOQWLPPAOA-QKYUOBHYSA-M,n/a
ID_0022,Diisononyl phthalate,DTXSID4022521,parent,n/a,Industrial Chemical,IC Plasticizer,n/a,n/a,unknown,n/a,n/a,n/a,n/a,potential estrogenic activity,"wikipedia, Chen et al. 2014 (doi: 10.3390/ijerph110303156)",n/a,3/14/2022,n/a,n/a,Mixture
ID_0023,Imazamethabenz-methyl,DTXSID3032412,parent,n/a,Pesticide,H,n/a,plants,Protein biosynthesis inhibition,Acetolactate synthase inhibition,Acetolactate synthase (ALS),n/a,n/a,n/a,"HRAC, PPDB",n/a,5/31/2022,n/a,n/a,Mixture
ID_0024,Octylphenol,DTXSID6027925,parent,n/a,Industrial Chemical,IC Intermediate,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,CPDat,n/a,10/31/2021,n/a,n/a,Mixture
ID_0025,n-Nonylphenol,DTXSID3021857,parent,n/a,Industrial Chemical,IC Additive/Hardener/Stabilizer,chemical intermediate,n/a,Endocrine,n/a,n/a,n/a,vertebrates,endocrine disruptor,"CPDat, pubchem, EDlist/1/ENV/2022",n/a,7/22/2022,n/a,n/a,Mixture
ID_0026,Tolyltriazole,DTXSID0026171,parent,n/a,Industrial Chemical,IC Corrosion inhibitor,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"wikipedia, CPDat",n/a,7/23/2022,n/a,n/a,Mixture
ID_0027,7-Oxolithocholic acid,DTXSID501032263,parent,n/a,Natural,Bile acid,formed primarily by gut micro-organisms,n/a,unknown,n/a,n/a,inhibited cortisone reduction,n/a,n/a,"pubchem, Odermatt et al. 2011 (doi: 10.1042/BJ20110022)",n/a,3/8/2022,444262,DXOCDBGWDZAYRQ-AURDAFMXSA-N,n/a
ID_0028,Trospium,DTXSID6048337,parent,n/a,Pharmaceutical,Ph Antispasmodic,n/a,humans,Neuromuscular system,mAChR antagonist,Muscarinic acetylcholine receptor (mAChR) M1,n/a,n/a,n/a,drugbank,n/a,2/28/2022,n/a,OYYDSUSKLWTMMQ-JKHIJQBDNA-N,n/a
ID_0029,Thiacloprid sulfonic acid,DTXSID201027768,TP,Thiacloprid,Pesticide,TP I/Molluscicide,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,PPDB,n/a,11/10/2021,139597267,UCZRQNICFJGZAI-UHFFFAOYSA-N,n/a
ID_0030,beta-Estradiol 17-(beta-D-glucuronide) sodium salt,DTXSID20585142,TP,Estradiol,"Natural, Pharmaceutical",TP Ph Steroid,n/a,humans,unknown,n/a,"Multidrug resistance protein 2 (MRP2), Toll like receptor 4 (TLR4)","substrate of the multidrug resistance protein 2, and through MRP2-mediated transport, functions as a cholestatic agent, decreasing bile flow, toll like receptor 4 (TLR4) activation, potential access to the central nervous system",n/a,n/a,"hmdb, Gerk et al. 2004 (doi: 10.1124/dmd.104.000372), Lewis et al. 2015 (doi: 10.1016/j.bbi.2014.09.004)",n/a,11/7/2021,16219299,YVEYPUJVNXGVJO-UHFFFAOYSA-N,n/a
ID_0031,"N'-(4-Acetylbenzoyl)-N-tert-butyl-3,5-dimethylbenzohydrazide",DTXSID901027771,TP,Tebufenozide,Pesticide,TP I,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,pubchem,n/a,11/7/2021,101920483,HBFBSZKRQXEISA-UHFFFAOYSA-N,n/a
ID_0032,"1-(3,5-Dichlorophenyl)-3-(propan-2-ylcarbamoyl)urea",DTXSID701028573,TP,Iprodione,Pesticide,TP F,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, pubchem",n/a,12/15/2021,131856609,MLYSJLQSYCTSDE-UHFFFAOYSA-N,n/a
ID_0033,"1-(6-Fluoro-1,3-benzothiazol-2-yl)ethanamine",DTXSID601028594,unknown,n/a,unknown,n/a,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11/7/2021,10313528,LMYJCUHGXCJZJF-UHFFFAOYSA-N,n/a
ID_0034,"2-[4-[[Tert-butyl-(3,5-dimethylbenzoyl)amino]carbamoyl]phenyl]acetic acid",DTXSID201027770,TP,Tebufenozide,Pesticide,TP I,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,pubchem,n/a,12/15/2021,101920482,QWBPAVBETVFMQN-UHFFFAOYSA-N,n/a
ID_0035,3-(4-Cyclopropyl-6-methyl-pyrimidin-2-yl-amino)-pheno,DTXSID601021443,TP,Cyprodinil,Pesticide,TP F,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, pubchem",n/a,11/3/2021,85971930,IGDCKQUNQPOPEU-UHFFFAOYSA-N,n/a
ID_0036,"2-(N-(2-Hydroxyacetyl)-2,6-dimethylanilino)acetic acid",DTXSID001028603,TP,Dimethachlor,Pesticide,TP H,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, pubchem",n/a,11/18/2021,139597902,XUBMBSRIISONHE-UHFFFAOYSA-N,n/a
ID_0037,Pendimethalin,DTXSID7024245,parent,n/a,Pesticide,H,n/a,plants,Mitosis/Cell cycle,Microtubule assembly inhibition,n/a,n/a,"mammals, fish",potential reproduction/development effects in humans,PPDB,n/a,10/20/2021,38479,CHIFOSRWCNZCFN-UHFFFAOYSA-N,n/a
ID_0038,Dodecylbenzenesulfonic acid,DTXSID6027923,parent,n/a,Industrial Chemical,IC Catalyst,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,Kaur et al. 2018 (doi: 10.1002/slct.201802824),n/a,7/20/2022,n/a,n/a,Mixture
ID_0039,Cymoxanil,DTXSID6032358,parent,n/a,Pesticide,F,n/a,fungi,unknown,n/a,n/a,Foliar with protective and curative activity,mammals,potential reproduction/development effects in humans,"PPDB, FRAC",n/a,12/15/2021,42614,XERJKGMBORTKEO-UHFFFAOYSA-N,n/a
ID_0040,Benzoximate,DTXSID8041660,parent,n/a,Pesticide,I/A,obsolete,insects,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, IRAC",n/a,4/13/2022,571084,BZMIHNKNQJJVRO-UHFFFAOYSA-N,n/a
ID_0041,Phoxim,DTXSID8034324,parent,n/a,Pesticide,I/A,"disinfectant, veterinary substance",insects,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,"mammals, aquatic invertebrates",potential acetyl cholinesterase inhibitor and neurotoxicant in humans,PPDB,n/a,11/7/2021,26927,ATROHALUCMTWTB-UHFFFAOYSA-N,n/a
ID_0042,Oxysimazine hydrochloride,DTXSID001017842,TP,"Simazine, Simeton",Pesticide,TP H,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, pubchem",n/a,7/9/2022,139079628,UMCDURFZNJLDGU-UHFFFAOYSA-N,n/a
ID_0043,Thiram | TMTD,DTXSID5021332,parent + TP,Ziram,"Industrial Chemical, Pesticide",F/Repellent + TP IC Vulcanisation accelerator/Adhesive,n/a,"fungi, birds, rodents",Multi-site activity,n/a,n/a,"inhibiting spore germination and mycelial growth, repellent properties caused by aversion to its taste","fish, aquatic invertebrates",n/a,"PPDB, FRAC, wikipedia, IARC/3/1991",n/a,12/15/2021,5455,KUAZQDVKQLNFPE-UHFFFAOYSA-N,n/a
ID_0044,Trifloxystrobin NOA413161,DTXSID401024922,TP,Trifloxystrobin,Pesticide,TP F,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, pubchem",n/a,3/1/2021,162396683,FNMBGDHYHINSHI-TYNPDKIBSA-N,n/a
ID_0045,Trifloxystrobin NOA413163,DTXSID101024923,TP,Trifloxystrobin,Pesticide,TP F,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, EFSA 2017 (doi: 10.2903/j.efsa.2017.4989)",n/a,2/23/2022,139594939,FNMBGDHYHINSHI-VDYLEKFBSA-N,n/a
ID_0046,Metalaxyl CGA108906,DTXSID501024844,TP,Metalaxyl-M,Pesticide,TP F,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, pubchem",n/a,3/3/2022,n/a,WFTHOCDLKYPFJX-UHFFFAOYNA-N,n/a
ID_0047,Chlorothalonil-4-hydroxy-carboacidamide (TP611968),DTXSID701021365,TP,Chlorothalonil,Pesticide,TP F,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, pubchem",n/a,12/18/2021,91151095,IODGSFOOWTXKAE-UHFFFAOYSA-N,n/a
ID_0048,4-(2-cyanophenoxy)-6-hydroxypyrimidine,DTXSID701028242,TP,Azoxystrobin,Pesticide,TP F,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, pubchem",n/a,12/15/2021,17853280,AEPJWPTWMHUKLG-UHFFFAOYSA-N,n/a
ID_0049,Tenofovir,DTXSID9040132,parent,n/a,Pharmaceutical,Ph Antiviral,treatment of HIV infections,viruses (in humans),Nucleic acid biosynthesis inhibition,"Reverse transcriptase inhibition, DNA polymerase inhibition","Reverse transcriptase/RNaseH, DNA polymerase of HIV-1",n/a,n/a,n/a,drugbank,n/a,2/28/2022,464205,SGOIRFVFHAKUTI-ZCFIWIBFSA-N,n/a
ID_0050,Gonyautoxin,DTXSID10880097,parent,n/a,Natural,Neurotoxin (algae),n/a,n/a,Neuroactive,Sodium channel modulator,Voltage dependent sodium channels,n/a,n/a,n/a,wikipedia,n/a,7/18/2022,104985,OKSSKVHGKYJNLL-LJRZAWCWSA-N,n/a
ID_0051,Acemetacin,DTXSID7022540,parent,n/a,Pharmaceutical,Ph Antiinflammatory (NSAID),analgetic,humans,Antiinflammatory,Cyclooxygenase inhibition,Cyclooxygenase 1 and 2 (COX-1 and COX-2),n/a,n/a,n/a,drugbank,n/a,2/25/2022,1981,FSQKKOOTNAMONP-UHFFFAOYSA-N,n/a
ID_0052,Aceclofenac,DTXSID7045522,parent,n/a,Pharmaceutical,Ph Antiinflammatory (NSAID),analgetic,humans,Antiinflammatory,Cyclooxygenase inhibition,Cyclooxygenase 1 and 2 (COX-1 and COX-2),n/a,n/a,n/a,drugbank,n/a,7/15/2022,71771,MNIPYSSQXLZQLJ-UHFFFAOYSA-N,n/a
ID_0053,Ranitidine-S-oxide,DTXSID90891464,TP,Ranitidine,Pharmaceutical,TP Ph,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"pubchem, drugbank",n/a,10/22/2021,62986,SKHXRNHSZTXSLP-UHFFFAOYSA-N,n/a
ID_0055,Tetramethrin [(1R)-trans isomer],DTXSID4058289,parent,n/a,Pesticide,I,n/a,insects,Neuroactive,Sodium channel modulator,Sodium channels,n/a,"mammals, fish, aquatic invertebrates",potential endocrine disruptor,"PPDB, ECHA/2021",n/a,7/10/2022,24365,CXBMCYHAMVGWJQ-CABCVRRESA-N,n/a
ID_0056,Etodolac,DTXSID9020615,parent,n/a,Pharmaceutical,Ph Antiinflammatory (NSAID),"analgetic, antipyretic",humans,Antiinflammatory,Cyclooxygenase inhibition,Cyclooxygenase 2 (COX-2),weak cyclooxygenase 1 inhibition,n/a,n/a,drugbank,n/a,2/28/2022,3308,NNYBQONXHNTVIJ-UHFFFAOYSA-N,n/a
ID_0057,"trans-10,11-Dihydroxy-10,11-dihydrocarbazepine",DTXSID10891461,TP,Carbamazepine,Pharmaceutical,TP Ph Psychotropic,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"pubchem, drugbank, wikipedia",n/a,3/14/2022,114725,PRGQOPPDPVELEG-KBPBESRZSA-N,n/a
ID_0058,D-Tetrahydropalmatine,DTXSID80359548,parent,n/a,"Natural, Pharmaceutical",Ph Analgetic,"dietary supplement, treatment of drug addiction",humans,Neuroactive,"Dopamine receptor antagonist, Alpha adrenergic receptor antagonist, GABA(A) receptor positive allosteric modulator","Dopamine receptors D1 and D2, Alpha-1 adrenergic receptor, GABA(A) receptors",n/a,n/a,n/a,"wikipedia, drugbank",n/a,2/23/2022,969488,AEQDJSLRWYMAQI-QGZVFWFLSA-N,n/a
ID_0059,Erucamide,DTXSID4026929,parent,n/a,Industrial Chemical,IC Additive/Lubricant/Adhesive,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"CPDat, pubchem",n/a,3/1/2022,5365371,UAUDZVJPLUQNMU-KTKRTIGZSA-N,n/a
ID_0060,Retrorsine,DTXSID6021242,parent,n/a,Natural,n/a,n/a,n/a,Metabolic system,OCT1 binding,Organic cation transporters 1 (OCT1),"bioactivation mediated by cytochrome P450, inhibits the proliferation of hepatocytes and subsequently induces liver injury",n/a,hepatotoxic,"Tu et al. 2014 (doi: 10.1016/j.tox.2014.04.007), IARC/3/1987",n/a,2/25/2022,5281743,BCJMNZRQJAVDLD-CQRYIUNCSA-N,n/a
ID_0061,Seneciphylline,DTXSID8026016,parent,n/a,Natural,Alkaloid,n/a,n/a,unknown,n/a,n/a,induced apoptosis by disrupting mitochondrial homeostasis,n/a,"hepatotoxic, potential mutagenic activity","pubchem, IARC/3/1987, Wang et al. 2020 (doi: 10.1002/jat.4004)",n/a,2/25/2022,5281750,FCEVNJIUIMLVML-QPSVUOIXSA-N,n/a
ID_0063,Senecionine,DTXSID40871615,parent,n/a,Natural,Alkaloid,antimicrobial,n/a,Nucleic acid damage,DNA cross-linking,DNA,n/a,n/a,causing hepatotoxicity,wikipedia,n/a,7/9/2022,5280906,HKODIGSRFALUTA-JTLQZVBZSA-N,n/a
ID_0064,Estriol 3-sulfate,DTXSID50963999,TP,Estriol,Pharmaceutical,TP Ph Steroid,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,11/1/2021,66415,ZORQMBLUMWNJEQ-ZXXIGWHRSA-N,n/a
ID_2200,3-Acetyldeoxynivalenol,DTXSID60891850,parent,n/a,Natural,Mycotoxin,cereal contaminant,n/a,unknown,n/a,n/a,weak Protein biosynthesis inhibition,n/a,n/a,"pubchem, Schmeitzl et al. 2015 (doi: 10.3390/toxins7083112)",n/a,2/23/2022,5458510,ADFIQZBYNGPCGY-HTJQZXIKSA-N,n/a
ID_0066,Strophanthidin,DTXSID00903966,parent,n/a,Pharmaceutical,Ph,n/a,humans,"Cardiovascular system, ATP inhibition",Na+/K+ ATPase inhibition,Na+/K+ ATPase,inhibits Na+/K+ ATPase in muscle tissue which can lead to Ca2+ overload/diastolic dysfunction/arrythmias/heart failure/death,n/a,n/a,wikipedia,n/a,11/18/2021,6185,ODJLBQGVINUMMR-HZXDTFASSA-N,n/a
ID_0067,17-Hydroxyandrostan-3-yl hexopyranuronate,DTXSID40949929,parent,n/a,Industrial Chemical,IC,marker of androgen action,n/a,unknown,n/a,n/a,not androgenic itself,n/a,n/a,Paulson et al. 1986 (doi: 10.1016/S0015-0282(16)49515-4),n/a,10/3/2022,3034755,TWDCYBTXSUNASK-WGGIPMEBSA-N,n/a
ID_0068,1-Methyl-3-oxoandrost-1-en-17-yl acetate,DTXSID40963004,parent,n/a,Pharmaceutical,Ph Androgen/Anabolic steroid,n/a,humans,Endocrine,Androgen receptor agonist,Androgen receptor,n/a,n/a,n/a,"drugbank, wikipedia",n/a,7/3/2022,252372,PGAUJQOPTMSERF-QWQRBHLCSA-N,n/a
ID_0069,Buprenorphine,DTXSID2022705,parent,n/a,"Pharmaceutical, Drug of abuse",Ph Analgetic,n/a,humans,Neuroactive,"Mu-type opioid receptor antagonist, Kappa-type opioid receptor partial agonist","Opioid receptors (Mu-type, kappa-type)",n/a,n/a,n/a,drugbank,n/a,11/17/2021,644073,RMRJXGBAOAMLHD-IHFGGWKQSA-N,n/a
ID_0460,[1-(3-hydroxybutyl)-1H-indol-3-yl](naphthalen-1-yl)methanone,DTXSID801016929,TP,AM-2201,Drug of abuse,TP Cannabinoid,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,Hutter et al. 2013 (doi: 10.1002/jms.3229),n/a,10/3/2022,76974820,YPRJGJFJMZOUSH-UHFFFAOYSA-N,n/a
ID_0071,(-)-Strychnine,DTXSID6023600,parent,n/a,"Natural, Pharmaceutical",Ph Anticonvulsant,"alkaloid, heart and bowel stimulant, performance enhancing drug",humans,Neuromuscular system,"Glycine receptor antagonist, nAChR antagonist, mAChR modulator","Glycin receptors, Nicotinic acetylcholine receptors (nAChR), Muscarinic acetylcholine receptors (mAChR)",n/a,n/a,n/a,"wikipedia, Kienzler et al. 2017 (doi: 10.1021/acs.est.7b02337), Zlotos et al. 2021 (doi: 10.1039/D1NP00079A)",n/a,2/23/2022,441071,QMGVPVSNSZLJIA-FVWCLLPLSA-N,n/a
ID_0072,Oxychlordane,DTXSID9044166,TP,Chlordane,Pesticide,TP I,n/a,n/a,unknown,n/a,n/a,n/a,fish,n/a,"PPDB, wikipedia",n/a,7/23/2022,13785700,VWGNQYSIWFHEQU-KGEUUOKHSA-N,n/a
ID_0073,Heptachlor epoxide A,DTXSID2058752,TP,Heptachlor,Pesticide,TP I,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,Zuo et al. 2014 (doi: 10.1007/s10661-013-3547-y),n/a,10/4/2022,71317194,ZXFXBSWRVIQKOD-WOBUKFROSA-N,n/a
ID_0074,Picrotoxinin,DTXSID3074311,parent,n/a,Natural,Stimulant/Convulsant,"pharmaceutical Picrotoxin (mixture of two compounds picrotoxinin and picrotin): CNS stimulant, antidote in poisoning by CNS depressants",n/a,Neuroactive,GABA(A) receptor antagonist,GABA(A) receptor,n/a,n/a,n/a,"wikipedia, drugbank",n/a,2/28/2022,442292,PIMZUZSSNYHVCU-YKWPQBAZSA-N,n/a
ID_0075,Drospirenone,DTXSID7046465,parent,n/a,Pharmaceutical,Ph Contraceptive,n/a,humans,Endocrine,"Progesterone receptor agonist, Mineralocorticoid receptor antagonist, Androgen receptor antagonist","Progesterone receptor, Mineralocorticoid receptor, Androgen receptor",n/a,n/a,n/a,drugbank,n/a,10/21/2021,68873,METQSPRSQINEEU-HXCATZOESA-N,n/a
ID_0076,Parthenolide,DTXSID2040579,parent,n/a,Natural,n/a,n/a,n/a,Antiinflammatory,n/a,n/a,"potential IκB kinase β (IKKβ) inhibition (plays a critical role in cytokine-mediated signaling), in vitro research: inhibition HDAC1 protein (DNA damage), modulation of the NF-κB-mediated inflammatory responses, Inducing apoptosis in acute myelogenous leukemia (AML), Microtubule-interfering activity cells, Agonist of the adiponectin receptor 2 (AdipoR2), Inhibition of mammalian thioredoxin reductase",n/a,n/a,"wikipedia, Kwok et al. 2001 (doi: 10.1016/S1074-5521(01)00049-7)",n/a,2/25/2022,5420805,KTEXNACQROZXEV-QLIGOWBFSA-N,n/a
ID_0077,Heptachlor epoxide B,DTXSID1024126,TP,Heptachlor,Pesticide,TP I,n/a,n/a,unknown,n/a,n/a,n/a,"mammals, fish",n/a,"PPDB, pubchem",n/a,11/17/2021,138394051,ZXFXBSWRVIQKOD-HWKPLSEASA-N,n/a
ID_0078,JWH-073 (2-methylnaphthyl analog),DTXSID201016557,parent,n/a,Drug of abuse,Cannabinoid,n/a,humans,Neuroactive,Cannabinoid receptor agonist,Cannabinoid receptor CB1 and CB2,n/a,n/a,n/a,Krotulski et al. 2019 (doi: 10.1093/jat/bkz084),n/a,11/21/2021,91743272,DRPAIIWSIJRPFH-UHFFFAOYSA-N,n/a
